"","Location","Circulation per Capita","Circulation per Borrower","Circulation per Staff FTE","Circulation per Visit","Circulation per Hour Open","Total Operating Expenditures per Circulation","% of Non-English Circulation to Total Circulation","% of Childrens Circulation to Total Circulation","Circulation of Childrens Materials per Child Borrower","Circulation of Electronic Materials","Physical Item Circulation","Circulation of Childrens Materials","Circulation of Non English Materials","Successful Retrieval of Electronic Information","Total Electronic Content Use","Total Annual Circulation","Total Content Use"
"53","DALY CITY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,18.26797,65975,230729,124277,5173,3725,69700,NA,300429
"54","DEL NORTE COUNTY LIBRARY DISTRICT",0,0,0,0,0,0,NA,0,4.29394,6918,38570,5668,NA,NA,6918,NA,45488
"55","DOWNEY CITY LIBRARY",0,0,0,0,0,0,0,0,0.91061,28892,22831,16870,1127,NA,28892,NA,51723
"56","EL CENTRO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,26.52717,0,9170,4881,577,NA,0,NA,9170
"57","EL DORADO COUNTY LIBRARY",0,0,0,0,0,0,0,0,12.92921,110889,593598,321640,3233,NA,110889,NA,704487
"58","EL SEGUNDO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,19.01803,15039,70594,48534,126,106022,121061,NA,191655
"59","ESCONDIDO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,10.66253,84194,312907,132162,9294,4174,88368,NA,401275
"60","FOLSOM PUBLIC LIBRARY",0,0,0,0,0,0,0,0,42.30263,72546,366015,231903,2662,5678,78224,NA,444239
"61","FRESNO COUNTY PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,15.13521,828596,1208302,414387,22636,523120,1351716,NA,2560018
"62","FULLERTON PUBLIC LIBRARY",0,0,0,0,0,0,NA,0,8.70144,81111,158943,114015,NA,3475,84586,NA,243529
"63","GLENDALE LIBRARY, ARTS & CULTURE",0,0,0,0,0,0,0,0,2.72424,167068,253715,126353,11107,529751,696819,NA,950534
"64","GLENDORA LIBRARY & CULTURAL CENTER",0,0,0,0,0,0,0,0,9.35477,40718,65839,35492,75,71857,112575,NA,178414
"65","HARRISON MEMORIAL LIBRARY",0,0,0,NA,0,0,NA,0,26.37333,45642,44156,15824,NA,12655,58297,NA,102453
"66","HAYWARD PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.37031,41955,84885,41419,2297,1288,43243,NA,128128
"67","HEMET PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,0.35747,193930,55098,11919,523,4065977,4259907,NA,4315005
"68","HUMBOLDT COUNTY LIBRARY",0,0,0,NA,0,0,0,0,3.01362,102922,151121,49348,748,10231,113153,NA,264274
"69","HUNTINGTON BEACH PUBLIC LIBRARY",0,0,0,0,0,0,0,0,8.17884,156084,481523,240229,2376,27464,183548,NA,665071
"70","IMPERIAL COUNTY LIBRARY",0,0,0,0,0,0,0,0,2.42205,806,9317,5469,7366,367,1173,NA,10490
"71","IMPERIAL PUBLIC LIBRARY",0,0,0,NA,0,0,NA,0,3.87418,NA,NA,13025,NA,NA,NA,NA,NA
"72","INYO COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,-2815,6701,11776,2815,-1,7862,14563,NA,26339
"73","IRWINDALE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.99643,1556,6808,3354,137,182,1738,NA,8546
"74","KERN COUNTY LIBRARY",0,0,0,0,0,0,0,0,9.58578,220168,315291,158798,4027,14044,234212,NA,549503
"75","KINGS COUNTY LIBRARY",0,0,0,0,0,0,0,0,5.07597,8759,41027,15969,529,560,9319,NA,50346
"76","LA COUNTY LIBRARY",0,0,0,0,0,0,0,0,3.54087,4893887,3381876,1630668,126806,2067019,6960906,NA,10342782
"77","LAKE COUNTY LIBRARY",0,0,0,NA,0,0,0,0,9.46309,40189,144109,37947,462,6535,46724,NA,190833
"78","LARKSPUR PUBLIC LIBRARY",0,0,0,0,0,0,0,0,49.76606,34942,62397,21698,34,135480,170422,NA,232819
"79","LASSEN LIBRARY DISTRICT",0,0,0,0,0,0,0,0,21.32544,3677,10832,3604,42,65,3742,NA,14574
"80","LINCOLN PUBLIC LIBRARY",0,0,0,0,0,0,0,0,12.83078,49989,172544,73623,658,3794,53783,NA,226327
"81","LIVERMORE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,9.29552,94309,215046,125378,1136,134146,228455,NA,443501
"82","LODI PUBLIC LIBRARY",0,0,0,0,0,0,0,0,7.03982,6067,112698,57283,1156,6278,12345,NA,125043
"83","LOMPOC PUBLIC LIBRARY",0,0,0,0,0,0,0,0,11.00503,40247,54703,24090,1555,5000,45247,NA,99950
"84","LONG BEACH PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.75743,360316,756037,205783,10031,954511,1314827,NA,2070864
"85","LOOMIS LIBRARY & COMMUNITY LEARNING CENTER",0,0,0,0,0,0,NA,0,23.92767,611,17500,13232,NA,NA,611,NA,18111
"86","LOS ANGELES PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,1.08863,12223192,2980466,1082395,155675,NA,12223192,NA,15203658
"87","LOS GATOS LIBRARY",0,0,0,0,0,0,0,0,11.58378,59568,209088,125823,1586,33192,92760,NA,301848
"88","MADERA COUNTY LIBRARY",0,0,0,0,0,0,0,0,8.47642,16061,103198,36313,1521,1618,17679,NA,120877
"89","MARIN COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,25.06436,450690,407340,303780,7343,119042,569732,NA,977072
"90","MARIPOSA COUNTY LIBRARY",0,0,0,NA,0,0,0,0,19.65872,175,35469,18145,256,NA,175,NA,35644
"91","MENDOCINO COUNTY LIBRARY",0,0,0,0,0,0,0,0,7.62512,93417,224014,63075,1753,17950,111367,NA,335381
"92","MENLO PARK PUBLIC LIBRARY",0,0,0,0,0,0,0,0,9.32601,103177,144894,43739,1054,14483,117660,NA,262554
"93","MERCED COUNTY LIBRARY",0,0,0,NA,0,0,0,0,6.62767,10980,88812,42437,3079,15774,26754,NA,115566
"94","MILL VALLEY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,62.61247,56430,153545,79330,1178,16115,72545,NA,226090
"95","MISSION VIEJO LIBRARY",0,0,0,NA,0,0,0,0,24.00055,112275,377773,216989,4998,60074,172349,NA,550122
"96","MODOC COUNTY LIBRARY",0,0,0,NA,0,0,0,0,4.05305,2584,15130,2521,9,NA,2584,NA,17714
"97","MONO COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,6.29665,13054,40949,14476,398,NA,13054,NA,54003
"98","MONROVIA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.72639,17764,49411,36306,1918,6843,24607,NA,74018
"99","MONTEREY COUNTY FREE LIBRARIES",0,0,0,0,0,0,0,0,12.7197,69663,173912,154786,22585,113262,182925,NA,356837
"100","MONTEREY PARK BRUGGEMEYER LIBRARY",0,0,0,0,0,0,0,0,9.89551,9709,32426,26233,1721,6219,15928,NA,48354
"101","MONTEREY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,10.58841,46087,156573,51142,824,13798,59885,NA,216458
"102","MOORPARK CITY LIBRARY",0,0,0,0,0,0,0,0,13.66383,11467,38589,24062,247,NA,11467,NA,50056
"103","MORENO VALLEY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,9.37422,3889,137270,70766,6585,3700,7589,NA,144859
"104","MOUNTAIN VIEW PUBLIC LIBRARY",0,0,0,0,0,0,0,0,87.70865,225961,515910,320312,13356,61444,287405,NA,803315
"105","MURRIETA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,6.8252,NA,121732,60171,797,NA,NA,NA,121732
"106","NAPA COUNTY LIBRARY",0,0,0,0,0,0,0,0,6.71384,180472,388698,153982,14847,NA,180472,NA,569170
"107","NATIONAL CITY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.89953,5824,10379,3044,371,16396,22220,NA,32599
"108","NEVADA COUNTY LIBRARY",0,0,0,0,0,0,NA,NA,0,NA,330964,NA,NA,NA,NA,NA,330964
"109","NEWPORT BEACH PUBLIC LIBRARY",0,0,0,0,0,0,0,0,61.90449,222379,821250,421941,12908,792732,1015111,NA,1836361
"110","OAKLAND PUBLIC LIBRARY",0,0,0,0,0,0,0,0,9.59942,643595,1289555,711576,82997,514685,1158280,NA,2447835
"111","OCEANSIDE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.53512,77954,305983,110430,4047,7002,84956,NA,390939
"112","ONTARIO CITY LIBRARY",0,0,0,0,0,0,0,0,9.40272,65440,169358,88348,7230,116245,181685,NA,351043
"113","ORANGE COUNTY PUBLIC LIBRARIES",0,0,0,0,0,0,0,0,34.09431,1636316,4426428,2570268,156240,768866,2405182,NA,6831610
"114","ORANGE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,11.90978,111350,190776,109570,3940,154826,266176,NA,456952
