"","Location","Total Operating Income","Operating Income per Capita","Operating Income from Local Government per Capita","Operating Income from State Government per Capita","Operating Income from Federal Government per Capita","% of Operating Income from Local Government","% of Operating Income from State Government","% of Operating Income from Federal Government","% of Operating Income from Other Sources"
"108","KINGS COUNTY LIBRARY",2332441,15.29038,13.59919,1.50777,0,0.8893948,0.0986091,0,0.011996
"109","SIMI VALLEY PUBLIC LIBRARY",2326442,18.69109,18.43603,0.03932,0.06288,0.9863543,0.0021036,0.0033644,0.0081777
"110","SAN BRUNO PUBLIC LIBRARY",2324635,51.73213,50.56133,0,0.61421,0.9773681,0,0.0118728,0.0107591
"111","MILL VALLEY PUBLIC LIBRARY",2318637,159.35649,149.05973,0,0,0.9353853,0,0,0.0646147
"112","CORONA PUBLIC LIBRARY",2309927,13.63159,12.7606,0.66291,0.05901,0.9361053,0.0486305,0.0043291,0.010935
"113","MONTEREY PARK BRUGGEMEYER LIBRARY",2287082,37.87814,34.28471,0.63143,2.96199,0.905132,0.0166701,0.0781979,0
"114","PALM SPRINGS PUBLIC LIBRARY",2244988,47.01152,46.96978,0.04173,0,0.9991122,0.0008878,0,0
"115","NATIONAL CITY PUBLIC LIBRARY",2123033,33.83373,30.48452,0.67239,1.64943,0.9010095,0.0198735,0.048751,0.030366
"116","ESCONDIDO PUBLIC LIBRARY",2083987,13.73864,12.88131,0.68444,0.07911,0.937597,0.0498184,0.0057582,0.0068263
"117","LOMPOC PUBLIC LIBRARY",2057213,36.963,35.10083,1.52438,0,0.9496207,0.0412407,0,0.0091386
"118","WOODLAND PUBLIC LIBRARY",2025472,33.21644,31.86293,0.98634,0.3424,0.959252,0.0296943,0.0103082,0.0007455
"119","BEAUMONT LIBRARY DISTRICT",1911565,31.51641,27.79785,3.53429,0,0.8820119,0.1121411,0,0.005847
"120","FOLSOM PUBLIC LIBRARY",1838665,22.34019,21.73372,0.39568,0,0.9728526,0.0177118,0,0.0094357
"121","EL SEGUNDO PUBLIC LIBRARY",1819423,109.20906,107.04766,1.63031,0,0.9802086,0.0149284,0,0.0048631
"122","MADERA COUNTY LIBRARY",1780304,11.23404,9.65336,0.07129,1.19388,0.8592954,0.0063461,0.1062734,0.0280851
"123","SANTA FE SPRINGS CITY LIBRARY",1713554,94.52005,90.96597,1.77412,1.31149,0.9623986,0.0187698,0.0138753,0.0049564
