"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"171","MARIPOSA COUNTY LIBRARY",399535,22.15086,0,141.07874,0,0.8555571,0.0951106,0.5263158,0.2631579,0.0789474,0.1315789
"172","IRWINDALE PUBLIC LIBRARY",390493,270.98751,21.09405,968.96526,0,0.8201223,0.0656734,0.4614935,0.271125,0.1083252,0.1590563
"173","LOOMIS LIBRARY & COMMUNITY LEARNING CENTER",381374,52.78848,336.18709,704.67451,0,0.6697265,0.0603978,0.5318345,0.3633558,0.0023035,0.1025062
"174","SIGNAL HILL PUBLIC LIBRARY",372602,32.07386,0,0,0,0.8507899,0.0569106,0.9054468,0.0945532,0,0
"175","ALPINE COUNTY LIBRARY/ARCHIVES",361839,318.80088,2304.70701,605.08194,0,0.6919155,0.079317,0.4006969,0.3205575,0,0.2787456
"176","PALO VERDE VALLEY LIBRARY DISTRICT",345781,15.5191,66.44523,236.35065,0,0.7754157,0.0196685,0.9608881,0,0,0.0391119
"177","TRINITY COUNTY FREE LIBRARY",342950,25.33801,22.77829,188.74518,0,0.8174544,0.0541624,0.8398385,0.1453567,0.0148048,0
"178","DEL NORTE COUNTY LIBRARY DISTRICT",330849,12.27686,20.25523,207.03942,0,0.5419753,0.0563308,0.5664002,0.3874014,0.0461984,0
"179","COLTON PUBLIC LIBRARY",295159,5.44594,452.00459,534.70833,0,0.8224482,0.0312611,0.5538095,0,0.3235071,0.1226834
"180","WILLOWS PUBLIC LIBRARY",275343,20.1083,54.11616,135.77071,0,0.780659,0.0251722,1,0,0,0
"181","MODOC COUNTY LIBRARY",271008,28.55421,0,225.0897,0,0.6220296,0.0144608,0.5067619,0.1436591,0.349579,0
"182","BRAWLEY PUBLIC LIBRARY",265022,9.69853,0,0,0,0.6205372,0.0771898,1,0,0,0
"183","LASSEN LIBRARY DISTRICT",249639,19.61183,37.98524,304.4378,0,0.6317643,0.0104471,1,0,0,0
"184","SAN JUAN BAUTISTA CITY LIBRARY",80852,23.27429,108.83261,32.93618,0,0.5176078,0.0401894,0.6272366,0,0.3727634,0
"185","Median",3165450.5,37.77567,132.14349,2095.68657,17.62866,0.6697265,0.07316295,0.49259725,0.3673469,0.03323375,0.09711565
"186","Total",1751672131.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Average",9519957.2361957,53.769843478261,1630.0493766452,6861.1071024,17.62866,0.66783292651934,0.077351865217391,0.50376778315217,0.3807596700565,0.045632264375,0.11377469178082
"188","Maximum",184631730,346.43789,150780.2,93180.57143,17.62866,0.9651647,0.1850387,1,0.7503388,0.3727634,0.5324792
"189","Minimum",80852,5.24459,10.56513,32.93618,17.62866,0.013007,0.0104471,0.1752413,0.0650696,7.51e-05,0.0018506
