"","Location","# of Children's Programs (calculated)","7.14a # of Children's Programs - Live, In-person","7.14b # of Children's Programs - Live, Virtual","7.27 # of Young Adult Programs (calculated)","7.27a # of Young Adult Programs - Live, In-person","7.27b # of Young Adult Programs - Live, Virtual","7.29 # of Adult Programs (calculated)","7.29a # of Adult Programs - Live, In-person","7.29b # of Adult Programs - Live, Virtual","7.33 Of the above programs, how many were offsite?","Total # of Programs","7.35 # recordings of program content","7.36 # views of recorded program content","7.37 # on-demand views of recorded live programs"
"133","INYO COUNTY FREE LIBRARY",28,28,NA,28,28,NA,0,0,0,0,57,2,NA,NA
"134","MONROVIA PUBLIC LIBRARY",28,NA,NA,9,0,9,312,0,312,60,377,212,22862,NA
"135","SAN ANSELMO PUBLIC LIBRARY",28,NA,NA,1,0,1,64,0,64,0,96,65,582,424
"136","PALM SPRINGS PUBLIC LIBRARY",26,NA,NA,25,0,25,50,0,50,0,101,91,5902,0
"137","ARCADIA PUBLIC LIBRARY",25,NA,NA,20,0,20,56,0,56,0,101,127,6760,1872
"138","BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT",23,NA,NA,0,0,0,3,0,3,0,26,19,6941,0
"139","DEL NORTE COUNTY LIBRARY DISTRICT",23,NA,NA,1,NA,NA,9,NA,NA,12,51,0,0,0
"140","ALHAMBRA CIVIC CENTER LIBRARY",19,NA,NA,49,0,49,59,20,39,10,127,55,6319,0
"141","FULLERTON PUBLIC LIBRARY",18,NA,NA,0,0,0,0,0,0,0,18,115,4191,0
"142","COVINA PUBLIC LIBRARY",15,NA,NA,0,0,0,235,0,235,0,262,0,0,0
"143","BELVEDERE-TIBURON LIBRARY",14,NA,NA,18,0,18,16,4,12,4,48,123,2695,NA
"144","DOWNEY CITY LIBRARY",13,NA,NA,0,0,0,1,0,1,1,14,80,1140,NA
"145","PALMDALE CITY LIBRARY",13,NA,NA,0,0,0,31,0,31,0,44,66,20432,0
"146","ORLAND FREE LIBRARY",12,NA,NA,0,0,0,1,0,1,4,13,0,0,0
"147","ALPINE COUNTY LIBRARY/ARCHIVES",11,NA,NA,0,0,0,14,10,4,10,70,0,0,0
"148","COALINGA-HURON LIBRARY DISTRICT",11,NA,NA,7,7,0,0,0,0,4,93,8,NA,NA
"149","SANTA ANA PUBLIC LIBRARY",11,NA,NA,97,0,97,29,0,29,0,233,117,13249,539
"150","MODOC COUNTY LIBRARY",10,NA,NA,0,0,0,0,0,0,0,10,0,0,0
"151","RANCHO MIRAGE PUBLIC LIBRARY",10,NA,NA,0,0,0,25,0,25,0,35,22,32149,3602
"152","TUOLUMNE COUNTY LIBRARY",10,NA,NA,0,NA,NA,0,NA,NA,0,10,0,0,0
"153","BEVERLY HILLS PUBLIC LIBRARY",9,NA,NA,4,0,4,37,0,37,0,50,70,6126,NA
"154","PALOS VERDES LIBRARY DISTRICT",9,NA,NA,12,0,12,40,0,40,17,61,82,9707,0
"155","TRINITY COUNTY FREE LIBRARY",9,NA,NA,0,0,0,2,0,2,0,11,0,0,0
"156","YORBA LINDA PUBLIC LIBRARY",9,NA,NA,7,3,4,8,3,5,0,24,42,2520,NA
"157","CAMARILLO PUBLIC LIBRARY",8,NA,NA,17,NA,NA,111,NA,NA,0,136,1,274,0
"158","LOOMIS LIBRARY & COMMUNITY LEARNING CENTER",7,NA,NA,0,0,0,6,2,4,0,19,86,1372,NA
"159","SAN JUAN BAUTISTA CITY LIBRARY",7,NA,NA,0,NA,NA,0,NA,NA,0,7,NA,NA,NA
"160","NATIONAL CITY PUBLIC LIBRARY",6,NA,6,4,1,3,362,NA,362,0,372,164,8323,NA
"161","TULARE PUBLIC LIBRARY",6,NA,NA,0,0,0,22,1,21,0,28,47,1437,NA
"162","EL SEGUNDO PUBLIC LIBRARY",5,NA,NA,0,0,0,30,0,30,0,35,114,22655,0
"163","SANTA FE SPRINGS CITY LIBRARY",5,0,5,0,0,0,36,0,36,0,41,146,16457,NA
"164","SIGNAL HILL PUBLIC LIBRARY",5,NA,NA,2,0,2,12,0,12,0,19,NA,NA,NA
"165","CERRITOS PUBLIC LIBRARY",4,NA,NA,3,0,3,0,0,0,0,13,39,6788,0
"166","KINGS COUNTY LIBRARY",4,NA,NA,0,NA,NA,2,NA,1,51,118,92,606,16816
"167","PLACER COUNTY LIBRARY",4,NA,NA,0,0,0,18,0,18,1,23,87,3665,362
"168","HARRISON MEMORIAL LIBRARY",3,NA,NA,1,0,1,6,0,6,0,21,8,1026,NA
"169","IRWINDALE PUBLIC LIBRARY",3,0,3,0,0,0,12,2,10,0,15,0,0,0
"170","MONTEREY PUBLIC LIBRARY",3,NA,NA,0,0,0,76,0,76,0,80,88,924,716
"171","PALO VERDE VALLEY LIBRARY DISTRICT",2,NA,NA,0,NA,NA,0,NA,NA,0,2,0,0,0
"172","NEWPORT BEACH PUBLIC LIBRARY",1,NA,NA,11,0,11,415,0,415,0,427,91,13001,266
"173","SAN DIEGO COUNTY LIBRARY",1,NA,NA,1,0,1,41,0,41,0,43,125,3395,8332
"174","BRAWLEY PUBLIC LIBRARY",0,NA,NA,0,NA,NA,1,NA,NA,0,1,0,0,0
"175","LOMPOC PUBLIC LIBRARY",0,NA,NA,0,NA,NA,0,NA,NA,24,24,36,926,0
"176","LOS GATOS LIBRARY",0,NA,NA,0,0,NA,0,0,NA,0,300,356,16548,NA
"177","REDONDO BEACH PUBLIC LIBRARY",0,NA,NA,6,0,6,16,0,16,0,22,61,NA,NA
"178","SAUSALITO PUBLIC LIBRARY",0,NA,NA,0,NA,NA,32,NA,NA,0,33,8,5425,NA
"179","CORONADO PUBLIC LIBRARY",NA,NA,NA,188,NA,NA,248,NA,NA,NA,501,65,4419,NA
"180","POMONA PUBLIC LIBRARY",NA,NA,NA,0,0,0,0,0,0,0,1,8,461,0
"181","Median",87,10,33,23,9,20,72,6.5,50.5,12.5,206,92,5432,1323
"182","Total",40715,97,791,9116,1432,5259,27770,2772,15927,4804,84298,26077,2226725,528622
"183","Average",235.34682080925,19.4,79.1,67.525925925926,33.302325581395,54.216494845361,169.32926829268,49.5,128.4435483871,54.590909090909,468.32222222222,178.6095890411,16135.688405797,7241.397260274
"184","Maximum",4028,52,376,1598,438,1160,3361,1028,2333,1821,6714,3481,190981,95623
"185","Minimum",1,2,3,1,1,1,1,1,1,1,1,1,10,3
